Event,Date,Time,Latitude,Longitude,Depth(km),Intensity,Magnitude,Type Mag,Location
es2022gznjv,2022-04-10,07:51:45,28.1546,-16.4331,19.0,,1.1,4,SE ARICO.ITF
es2022gwvlk,2022-04-08,20:32:04,28.2236,-16.1706,27.0,,1.5,4,ATLÁNTICO-CANARIAS
es2022gwoja,2022-04-08,16:57:09,28.1223,-16.4621,19.0,,0.8,4,SE ARICO.ITF
es2022gviuq,2022-04-08,01:00:52,28.2378,-16.6775,14.0,,1.1,4,NW VILAFLOR DE CHASNA.ITF
es2022guypx,2022-04-07,19:52:17,28.1688,-16.6567,9.0,,0.6,4,NW VILAFLOR DE CHASNA.ITF
es2022gtrkw,2022-04-07,03:06:14,28.044,-16.4211,27.0,,1.1,4,SE ARICO.ITF
es2022gtnap,2022-04-07,00:53:03,28.1491,-16.214,17.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022gswdw,2022-04-06,16:21:38,28.1095,-16.2974,25.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022gnqzr,2022-04-03,20:05:14,28.259,-16.6293,2.0,,0.3,4,N VILAFLOR DE CHASNA.ITF
es2022gmwip,2022-04-03,09:39:11,28.1616,-16.2259,7.0,,1.3,4,ATLÁNTICO-CANARIAS
es2022gkusr,2022-04-02,06:34:18,28.0869,-16.2422,7.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022gkhzl,2022-04-02,00:08:12,28.2452,-16.6868,13.0,,1.2,4,NE GUÍA DE ISORA.ITF
es2022gjwnp,2022-04-01,18:21:03,28.3905,-16.4911,32.0,,1.4,4,E LA OROTAVA.ITF
es2022gjcym,2022-04-01,08:27:35,28.1621,-16.2287,16.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022ggpnn,2022-03-30,23:24:52,27.9997,-16.198,30.0,,1.7,4,ATLÁNTICO-CANARIAS
es2022ggocl,2022-03-30,22:41:39,28.1602,-16.2341,22.0,,1.0,4,ATLÁNTICO-CANARIAS
es2022ggktg,2022-03-30,21:00:00,28.0997,-16.2818,29.0,,0.7,4,ATLÁNTICO-CANARIAS
es2022gghgu,2022-03-30,19:14:34,28.1511,-16.6682,8.0,,1.0,4,W VILAFLOR DE CHASNA.ITF
es2022gfceh,2022-03-30,03:32:07,28.3587,-16.5095,6.0,,0.3,4,SE LA OROTAVA.ITF
